"Under the 2017 revised rates, what is the Deputation (Duty) Allowance for a transfer within the same station?","5% of basic pay, subject to a maximum of Rs. 4500 per month."
"Under the 2017 revised rates, what is the Deputation (Duty) Allowance for a transfer involving a change of station?","10% of basic pay, subject to a maximum of Rs. 9000 per month."
"According to the 7th CPC recommendations, at what threshold do the ceilings for Deputation (Duty) Allowance rise by 25%?",Each time the Dearness Allowance increases by 50%.
"In the context of deputation pay, what is the defined 'Apex level' limit for basic pay plus Deputation (Duty) Allowance?","Rs. 2,25,000."
"For Government servants receiving Non-Practising Allowance (NPA), the total of basic pay, NPA, and Deputation (Duty) Allowance cannot exceed the pay of the _____.","Cabinet Secretary (Rs. 2,37,500)."
Term: Basic Pay (in the revised 7th CPC structure),"Definition: The pay drawn in the prescribed Level in the Pay Matrix, excluding personal pay or other types of pay."
Are pay upgradations like MACP or Non-Functional Selection Grade (NFSG) in the parent cadre considered for calculating Deputation (Duty) Allowance?,"No, the upgraded basic pay under such schemes is not taken into account."
"Under the 2018 amendments, what is the default tenure of deputation if the Recruitment Rules (RRs) for an ex-cadre post do not specify one?",5 years.
Who is the competent authority to grant a deputation extension for the 6th year?,The Secretary of the borrowing Administrative Ministry (or Chief Secretary in State Government).
An extension of deputation for the 7th year requires the approval of the _____ of the borrowing Ministry/Department.,Minister
"According to the 2016 delegation of powers, no extension of deputation beyond _____ years is allowed unless provided in the relevant Recruitment Rules.",7
What is the mandatory 'cooling off' period after a deputation for posts up to Joint Secretary level?,3 years.
What is the 'cooling off' requirement for an officer at the Additional Secretary level?,1 year.
"Under the 2024 guidelines, Group 'A' officers are eligible for deputation to State Governments only after completing _____ years of service in their parent cadre.",9
What is the career-long maximum duration for Group 'A' officers on deputation to State Governments/UT Administrations?,5 years.
Which committee's approval is required for the deputation of Group 'A' officers of the Central Government to State Governments?,Appointments Committee of the Cabinet (ACC).
The 'cooling off' period is waived if a Central Government officer's next deputation is to a _____.,North-East State.
"If an officer overstays their approved deputation period, the period of overstay will not be counted for _____.",Pension
Concept: Technical Resignation,Definition: A resignation treated as a technical formality when a Government servant applies through proper channel for another post and is required to resign the previous post to join.
Term: Lien,"Definition: The right of a Government employee to hold a regular post, permanent or temporary, either immediately or upon termination of a period of absence."
For how long can a permanent Government servant typically retain a lien in their parent department after joining another Central/State Government department?,2 years (extendable to 3 years in exceptional cases).
Under what condition is a Government employee's lien on a post automatically terminated?,When they acquire a lien on a permanent post outside their original cadre.
"When a resignation is 'Technical', does the employee lose the benefit of past service?","No, the benefit of past service is preserved for pension and other service-related benefits."
What defines 'same station' for determining Deputation (Duty) Allowance?,"The station where the person was on duty before proceeding on deputation, including its urban agglomeration."
Within what timeframe must a borrowing authority obtain a deputationist's option for pay fixation?,Within one month from the date of joining the ex-cadre post.
"Under the Central Staffing Scheme (CSS), what is the standard tenure for an officer at the Under Secretary (US) level?",3 years.
"Under the Central Staffing Scheme (CSS), what is the standard tenure for an officer at the Deputy Secretary (DS) level?",4 years.
"Under the Central Staffing Scheme (CSS), what is the standard tenure for an officer at the Director level?",5 years.
What is the maximum allowable duration for a single spell of 'long-term' international assignment within the first 25 years of service?,5 years.
How many months of short-term consultancies can an officer undertake during their entire career?,25 months.
What is the maximum duration for an individual short-term consultancy assignment within a single calendar year?,3 months (90 days).
How does proforma promotion in the parent cadre affect an officer on deputation who has opted for the ex-cadre pay scale?,The officer may revise their option to draw the parent pay plus deputation allowance if it is more beneficial.
"For a vacancy already existing, what is the 'crucial date' for determining age-limit eligibility for deputation?",The last date prescribed for receipt of nominations by the originating Ministry/Department.
"In the case of an anticipated vacancy, the crucial date for determining eligibility is the _____.",Date on which the vacancy is expected to arise.
Can Deputation (Duty) Allowance be drawn in addition to a Special Allowance granted in the parent department?,"No, parent department special allowance is not allowed in addition to Deputation (Duty) Allowance."
Who bears the expenditure for pension and leave salary contributions during a period of foreign service?,The borrowing organization (or the officer if the organization fails to pay).
What is the advance notice period required for the premature reversion of a deputationist to their parent cadre?,At least three months.
Which body finalizes the selection for GOI foreign posts under the Central Staffing Scheme?,The Civil Services Board (CSB).
"Under Rule 15 of the Fundamental Rules, a Government servant's lien can be transferred to another _____ post in the same cadre.",Permanent
Does a Government servant on 'Technical Resignation' need to undergo a fresh medical examination if the standards for the new post are identical?,"No, a fresh examination is not required."
How is the pay of a Central Government employee regulated upon deputation to a Central Public Sector Enterprise (CPSE)?,They are not allowed the option of parent pay plus allowance; their pay is governed by Department of Public Enterprises (DPE) orders.
"If an officer receives a proforma promotion to a grade higher than their deputation post, can they extend their tenure?","No extension is allowed beyond the currently sanctioned period in such cases (per 2010 rules, later modified in 2012)."
"According to the 2012 modification, can an officer seek extension after receiving a proforma promotion to a higher grade pay?","Yes, extensions may be considered as per the general tenure instructions if they opt for the promoted pay."
How is seniority handled for a Government servant who rejoins their substantive post after a Technical Resignation?,"Seniority is protected, but the period spent in the other department does not count toward minimum service for promotion."
What is the start date for calculating the 9-year eligibility for deputation for a promotee Group 'A' officer?,The 1st of July of the year of allotment or promotion to the Group 'A' post.
"If no extension order is received by the last day of a Group 'A' officer's deputation to a state, what must the officer do?",Relinquish charge and get relieved immediately.
Who acts as the Chairman of the Committee for reviewing extensions of Central Group 'A' officers to State Governments beyond 3 years?,"Secretary to Government, Department of Personnel & Training."
"Under the 1991 instructions, what is the cooling off requirement for an officer returning from a foreign assignment exceeding 180 days?",Two years.
Officers dealing with an international organization in an official coordinating capacity cannot take up assignments in that organization's Secretariat for _____ years after relinquishing charge.,2
Are temporary Government servants allowed to retain a lien when moving to outside posts?,"No, they must sever connections with the Government and do not retain a lien."
What is the limit for carrying forward Earned Leave (EL) and Half Pay Leave (HPL) upon permanent absorption in a PSU?,An overall limit of 300 days.
How is joining time pay calculated for a Government servant moving to a new post after Technical Resignation?,It is equal to the pay drawn immediately before relinquishing charge in the old post.
"For 'Reverse Foreign Service' (PSU to Government), how are leave salary and pension contributions determined?",By mutual consent between the PSU and the Government.
What happens to the balance in a National Pension System (NPS) account when a Government servant submits a Technical Resignation?,The balance and the PRAN (Permanent Retirement Account Number) are carried forward to the new office.
"If the pay in a new post after Technical Resignation is lower than the previous substantive pay, is the pay protected?","Yes, pay protection is given in terms of presumptive pay under FR 22-B."
Can a person in a higher grade pay be appointed on deputation to a lower grade pay post within the Central Government?,"No, such appointments are generally restricted when pay scales and DA patterns are similar."
Who determines whether a transfer is 'outside the normal field of deployment' for deputation purposes?,The authority which controls the service or post from which the employee is transferred.
Is a temporary appointment made on the personal request of an employee treated as deputation?,"No, such appointments are not treated as deputation or foreign service."
"For Proforma Promotion under the 'Next Below Rule' (NBR), if the parent cadre level is higher than the ex-cadre post, can that pay be used for Deputation Allowance?","No, the higher basic pay under Proforma Promotion is not taken into account for the allowance."
"If an officer moves from a Central Staffing Scheme (CSS) post to a non-CSS post, they are eligible for an additional tenure of _____ years.",2
What is the tenure for a Chief Vigilance Officer (CVO) on deputation?,Maximum of 5 years.
A Central Government Officer may join the Pension scheme of _____ bodies and the period will not count as qualifying service for Central Government pension.,UN
Are Central Government employees on deputation to State Governments entitled to the leave rules of the borrowing organization?,"No, they are generally regulated by the leave rules of the parent organization."
"Under the 2017 rules, can an officer draw Deputation (Duty) Allowance during an extension in the 5th year?","Yes, if they have opted for the allowance, it continues during the 5th year extension."
